,rms_angle_error,rms_angle_error_rad,rms_rate_error,rms_human_torque,rms_robot_torque,rms_human_power,rms_robot_power,human_angle_cost,robot_angle_cost,human_angle_gain,robot_angle_gain,system_angle_cost,system_angle_gain,authority,condition,condition_number,repetition,cost_variability,rms_estimated_human_torque,settings,participant,conflict
83,6.412074721895173,0.1119118157809705,0.4991635022575071,0.3805152833658066,0.24212296724300744,0.1908041921859541,0.2735930675151817,4.920645031855743,5.160218550960102,1.2504992865431994,1.342621942075383,10.082007709827153,2.5930096817053254,-0.29261003223693977,Positive Reinforcement,1,1,278.90272924160195,0.14114263390151804,Good Visuals,6,0.45064323815500473
84,5.017978224505481,0.08758024181099985,0.4461840904456684,0.5461173142935546,0.7136638376713329,0.2902963899949704,0.7695118756744642,-37.91330549799622,12.0,-3.0734098641554928,7.704369552619966,-25.91330549799622,4.630873749336757,-1.6400915475260054,Negative Reinforcement,2,0,293.4758357566379,0.23338534340766545,Good Visuals,7,0.7566859921451281
85,4.461017972205365,0.07785945160562449,0.39912575570661796,0.5688204343419135,0.7721421476061793,0.37135687049871313,0.8758323303278506,-56.21838203854254,12.0,-3.913205961264261,9.13942747428631,-44.21838203854254,5.22613340873513,-1.988993322709335,Negative Reinforcement,2,1,327.444836084903,0.28418470666287704,Good Visuals,7,0.8239423495061191
86,7.171956974349067,0.12517426301376172,0.558593148408279,0.3841321567052682,0.24718566746379986,0.21050539959846534,0.2680510845589672,5.873251065525291,6.113044363486991,1.371305887636531,1.45611433832768,11.988127314921698,2.827411320751067,-0.2664214706631334,Positive Reinforcement,1,2,324.05323685697226,0.15033833041797448,Good Visuals,7,0.466423447934702
87,6.514059044220116,0.11369177799095591,0.5168211571209055,0.38046137871008656,0.24146503930086421,0.2087456139140406,0.27980032274884475,6.263181619260621,6.503007491826024,1.4178304156708539,1.4998983412810167,12.766245029813378,2.917596949059559,-0.2698012771730637,Positive Reinforcement,1,3,320.78163055521765,0.15061483917118587,Good Visuals,7,0.4617574257425743
88,4.473037843451167,0.07806923793452952,0.38581359897163786,0.5809539195315033,0.7133334258183827,0.3049813170145345,0.7233115984750103,-52.01265137363,12.0,-3.7356634096654524,8.830286173968716,-40.01265137363,5.094758665671735,-1.872112856946364,Negative Reinforcement,2,2,347.5626533404571,0.2560914996116129,Good Visuals,7,0.765854265108182
89,4.996871304666323,0.08721185656485203,0.45446235109664673,0.4208698847372909,0.47872850464132366,0.09972003499722788,0.5245969134769647,-6.489735000048021,12.0,-0.8179970002851081,4.377367603702996,5.510264999951979,3.559512607152362,-1.2818414840360377,Negative Reinforcement,2,3,344.1214315067698,0.07991147700028685,Good Visuals,7,0.6590322783615428
94,6.637481447679498,0.11584590530204697,0.5192027738248376,0.38697213135570896,0.24235467670629096,0.19048205174244706,0.260373059039637,5.928513664508497,6.168513664508497,1.3779611625307657,1.4623474680753175,12.09954004590901,2.840200872573389,-0.2718913695479784,Positive Reinforcement,1,0,331.20626339111845,0.14512047847948573,Good Visuals,7,0.46329476172701256
95,7.470562675085955,0.13038591565684532,0.5564595701038147,0.38051919165021264,0.24700293733928186,0.20965496819644705,0.278378775550091,4.643103355672042,4.882245138386803,1.2128013185851287,1.3077288220099124,9.526166750501213,2.520540984776667,-0.3277701616572612,Positive Reinforcement,1,1,327.96520997763804,0.14394174992231415,Good Visuals,7,0.48711580254579323
98,5.81370133516239,0.1014682300261741,0.4895070699516765,0.3905034083689983,0.2491995426765505,0.20526697415910786,0.26073693914870366,8.073115913847825,8.313696008170586,1.6162826667780874,1.689074364440051,16.385690455668673,3.3053092265233084,-0.2468144283343643,Positive Reinforcement,1,2,320.2107906439894,0.15407863139951952,Good Visuals,8,0.4329112344831888
99,6.712060126472324,0.11714754879876908,0.5320194699125574,0.3902736779743887,0.2401235237087737,0.187896812508044,0.2673363345732846,5.230985867107145,5.469735865177741,1.29085214157036,1.3806215955688412,10.701440397669677,2.671417170818242,-0.2932617136988734,Positive Reinforcement,1,3,317.23520064790387,0.13968557433206538,Good Visuals,8,0.4591549295774648
